delta,p2p_dis,p2c_dis,p2p_changed,p2c_changed,flipped,new_p2p,new_p2c
20,2.3183925811437405,5.255023183925811,0.6182380216383307,1.3910355486862442,0.1545595054095827,4.482225656877898,11.591962905718702
21,1.7094017094017093,1.566951566951567,1.2820512820512822,0.5698005698005698,0.14245014245014245,7.54985754985755,5.128205128205129
22,4.6875,2.4739583333333335,0.9114583333333334,0.78125,0.0,3.3854166666666665,4.036458333333333
23,4.545454545454546,3.3766233766233764,1.0389610389610389,1.8181818181818181,0.0,3.116883116883117,6.4935064935064934
24,1.7879948914431674,1.6602809706257982,1.40485312899106,1.7879948914431674,0.0,20.178799489144318,4.980842911877395
25,2.2035676810073452,1.4690451206715636,0.5246589716684156,1.2591815320041972,0.2098635886673662,1.888772298006296,2.6232948583420774
26,15.296566077003122,3.3298647242455774,0.8324661810613944,2.18522372528616,0.0,1.2486992715920915,3.433922996878252
27,1.2091898428053205,1.9347037484885128,0.9673518742442564,2.2974607013301087,0.0,7.617896009673519,4.353083434099154
28,1.2222222222222223,1.2222222222222223,2.5555555555555554,1.4444444444444444,0.0,14.333333333333334,6.666666666666667
29,15.370196813495783,3.280224929709466,0.6560449859418932,1.9681349578256795,0.0,2.1555763823805063,3.561387066541706
30,3.6598493003229278,3.013993541442411,0.7534983853606028,2.9063509149623252,0.10764262648008611,3.1216361679224973,3.767491926803014
31,1.7185821697099892,2.0408163265306123,3.544575725026853,0.644468313641246,0.0,25.99355531686359,7.841031149301826
32,5.037159372419488,2.477291494632535,0.990916597853014,2.0644095788604457,0.08257638315441784,4.1288191577208915,5.450041288191577
33,3.3980582524271843,2.9935275080906147,1.6990291262135921,1.051779935275081,0.0,2.750809061488673,3.9644012944983817
34,2.0161290322580645,2.1774193548387095,0.967741935483871,2.5806451612903225,0.08064516129032258,6.129032258064516,3.3870967741935485
35,7.73353751914242,3.445635528330781,0.38284839203675347,1.9908116385911179,0.07656967840735068,3.2924961715160794,2.756508422664625
36,4.761904761904762,2.6634382566585955,1.4527845036319613,0.8878127522195319,0.16142050040355124,9.6045197740113,5.246166263115415
37,5.935386927122464,2.8549962434259957,1.2021036814425243,1.8031555221637867,0.15026296018031554,5.935386927122464,2.9301277235161534
38,2.1021021021021022,2.7777777777777777,1.2762762762762763,1.6516516516516517,0.22522522522522523,9.834834834834835,4.654654654654655
39,6.6438356164383565,2.9452054794520546,0.684931506849315,1.7123287671232876,0.136986301369863,3.835616438356164,2.328767123287671
40,2.127659574468085,2.624113475177305,1.3475177304964538,1.5602836879432624,0.07092198581560284,10.638297872340425,2.9078014184397163
41,3.0638852672750976,1.3689700130378097,1.5645371577574967,1.3689700130378097,0.0651890482398957,3.650586701434159,3.1290743155149934
42,2.929936305732484,1.4012738853503184,0.5732484076433121,1.1464968152866242,0.0,3.949044585987261,3.6305732484076434
43,4.133251079580506,2.6526835286859964,0.5552128315854411,1.1104256631708822,0.0,4.873534855027761,3.7631091918568784
44,2.786190187764991,1.8170805572380375,1.3325257419745609,0.9691096305269533,0.0,3.634161114476075,2.2410660205935797
45,3.1698564593301435,1.375598086124402,1.0167464114832536,1.854066985645933,0.05980861244019139,3.7679425837320575,2.452153110047847
46,2.0,2.0588235294117645,0.7058823529411765,1.1176470588235294,0.0,2.764705882352941,2.1176470588235294
47,2.3920653442240374,2.5670945157526255,1.1668611435239207,1.4585764294049008,0.058343057176196034,6.826137689614936,2.7421236872812136
48,1.3943112102621305,1.0596765197992193,1.4500836586726158,1.784718349135527,0.0,3.290574456218628,2.788622420524261
49,2.852529601722282,1.9375672766415502,0.9149623250807319,1.5608180839612487,0.05382131324004306,4.359526372443487,3.552206673842842
50,2.6096033402922756,2.922755741127349,1.0960334029227556,1.0960334029227556,0.05219206680584551,4.697286012526096,3.7056367432150314
51,5.47945205479452,2.993404363267377,0.76103500761035,0.91324200913242,0.050735667174023336,4.921359715880264,2.1816336884830037
52,3.652263374485597,2.880658436213992,0.6172839506172839,2.05761316872428,0.0,7.0473251028806585,4.4753086419753085
53,3.0377266046055853,2.0578147966683,0.7839294463498285,1.567858892699657,0.04899559039686428,5.585497305242528,3.5276825085742285
54,2.025435704192181,1.7899199246349506,0.8478568064060292,1.0833725859632595,0.047103155911446065,4.380593499764484,2.826189354686764
