delta,p2p_dis,p2c_dis,p2p_changed,p2c_changed,flipped,new_p2p,new_p2c
82,1.3141196217300528,2.7387726695869326,0.3295533630818357,0.919064969091579,0.04912596716747861,1.6518606460064682,3.142014983419986
83,1.6844115734720415,2.619066970091027,0.23772756827048114,0.37995773732119636,0.04266905071521456,2.9482282184655397,3.1737646293888164
84,1.6443495440122926,1.7461236055955778,0.23547724052603222,0.46097663187723253,0.027937977689529245,1.927720460577518,3.60000798227934
85,2.409050056660545,2.252745105701223,0.35559376343245674,0.4083466843812278,0.03907623773983041,1.8912899066077917,3.0538079793677464
86,2.0106376760769185,3.109474545560816,0.43836577240049096,0.5065560036627895,0.05650047733161884,3.2633896389814327,3.3783388859664503
87,1.237813771397866,2.4660320872035,0.2015045674368619,0.4932064174407001,0.0498963690796039,2.1205956858831656,3.5791049359023566
88,2.4892752314292164,2.8223075186272295,0.3970045909535636,0.3593738240385339,0.045156920298035676,1.9643260329645518,2.8298336720102357
89,1.7854103228490912,2.0501957520851852,0.23830688631248464,0.5220055604940139,0.047283112363588224,3.682408790876251,3.561364023225465
90,1.4814814814814814,2.4709647919524462,0.23228166438042983,0.5029721079103795,0.05852766346593507,2.139917695473251,3.577503429355281
91,1.806254493170381,2.7408339324227176,0.3253055355859094,0.6020848310567937,0.043134435657800146,1.144859813084112,2.8828181164629765
92,1.217683510686347,2.3757475023034815,0.377590287438348,0.5203158027858575,0.041552998139148346,1.687413054868024,2.9014832613683583
93,1.524095738971772,2.134091803513291,0.3363028156416586,0.4776215520017173,0.05008765339343852,1.7029802153769096,3.1984544381238598
94,1.1961764757849356,2.1555912857571955,0.39578069508984576,0.4717564535222715,0.04063819637083237,2.1237874799017615,2.8923794547414174
95,1.496376370809364,2.4313943586089435,0.359755991588314,0.3580180399381289,0.03475903300370184,2.573906393924121,3.0518430977250213
96,1.57734636680566,2.3275685282657737,0.25292227766764647,0.6459771686376375,0.05297696356552054,1.510697928771618,2.9410759450406725
97,1.641851927391393,2.0871575226052075,0.2685430688693997,0.3943164049221565,0.03909171255693793,2.138146712896866,3.008362227207832
98,1.2535612535612535,2.3043405396346572,0.28322440087145967,0.3251215015920898,0.05362828892240657,2.022792022792023,2.9177140941846824
99,2.8283329200760394,2.1902636581535666,0.36036036036036034,0.3438300686007108,0.026448466815439293,2.135713695346723,3.0713282089428877
100,1.1813427048788134,2.1877938919962383,0.3151347159662756,0.4900262337276642,0.029698559619858438,2.9616063620914383,2.7520665247735483
101,2.4810575527970338,2.126390456230856,0.23859422859906496,0.8286313074318878,0.025793970659358376,1.684668708689344,3.050137030469128
